page,price,location,alapterulet,szobak,erkely
4,717 786 Ft/hó,"Budapest VI. kerület, Nagymező utca",100 m2,3,
4,717 786 Ft/hó,"Budapest V. kerület, Steindl Imre utca",111 m2,3,5 m2
4,1 156 433 Ft/hó,"Budapest V. kerület, Dorottya utca 6.",133 m2,3,
4,199 000 Ft/hó,"Budapest VI. kerület, Csengery utca 76.",27 m2,1,
4,757 663 Ft/hó,"Budapest V. kerület, Irányi utca",75 m2,3,
4,697 848 Ft/hó,"Budapest VIII. kerület, József körút",99 m2,3,
4,300 000 Ft/hó,"Budapest I. kerület, Batthyány utca 51.",42 m2,2,
4,797 540 Ft/hó,"Budapest V. kerület, Dorottya utca 6.",69 m2,3,
4,285 000 Ft/hó,"Budapest XI. kerület, Budafoki út 64.",45 m2,2,9 m2
4,717 786 Ft/hó,"Budapest V. kerület, Dorottya utca 6.",69 m2,2,
4,350 000 Ft/hó,"Budapest II. kerület, Zöldlomb utca",68 m2,3,
4,230 000 Ft/hó,"Budapest I. kerület, Fő utca",35 m2,1 + 1 fél,
5,790 000 Ft/hó,"Budapest VI. kerület, Ó utca",93 m2,4,
5,638 032 Ft/hó,"Budapest XIII. kerület, Pannónia utca 12.",104 m2,3,2 m2
5,370 000 Ft/hó,"Budapest XIII. kerület, Danubius utca",76 m2,3,15 m2
5,290 000 Ft/hó,"Budapest VII. kerület, Király utca",73 m2,2 + 1 fél,5 m2
5,390 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",78 m2,3,8 m2
5,320 000 Ft/hó,"Budapest XIII. kerület, Vizafogó - Marinapart",54 m2,2,10 m2
5,245 000 Ft/hó,"Budapest XIII. kerület, Radnóti Miklós utca",35 m2,1 + 1 fél,
5,245 000 Ft/hó,"Budapest XI. kerület, Előpatak utca",43 m2,1 + 1 fél,12 m2
5,420 000 Ft/hó,"Budapest III. kerület, Szőlő utca",75 m2,3,17 m2
5,220 000 Ft/hó,"Budapest VI. kerület, Aradi utca",40 m2,1 + 1 fél,
5,610 000 Ft/hó,"Budapest III. kerület, Ürömhegyi lejtő",72 m2,3,
5,378 832 Ft/hó,"Budapest XIII. kerület, Petneházy utca 37-47.",66 m2,3,5 m2
5,228 000 Ft/hó,"Budapest IX. kerület, Dési Huber utca",54 m2,2,4 m2
5,240 000 Ft/hó,"Budapest IX. kerület, Sobieski János utca",32 m2,1,3 m2
