district,total_listings,entire_homes,month
1,95,80,A weekend in January
2,58,48,A weekend in January
3,36,30,A weekend in January
4,8,6,A weekend in January
5,267,210,A weekend in January
6,262,217,A weekend in January
7,526,476,A weekend in January
8,311,272,A weekend in January
9,186,163,A weekend in January
10,6,4,A weekend in January
11,56,44,A weekend in January
12,19,14,A weekend in January
13,159,148,A weekend in January
14,210,116,A weekend in January
15,44,31,A weekend in January
16,5,4,A weekend in January
17,8,5,A weekend in January
18,4,4,A weekend in January
19,7,4,A weekend in January
20,5,3,A weekend in January
21,9,6,A weekend in January
22,3,2,A weekend in January
23,6,3,A weekend in January
